#gene_name	#distance_next_to_gene_after_end	#distance_before_to_gene
PKA1H1_STAND_000005200	770	NA
PKA1H1_STAND_000005300	23419	770
PKA1H1_STAND_000005700	3745	23419
PKA1H1_STAND_000005800	927	3745
PKA1H1_STAND_000005900	4546	927
PKA1H1_STAND_000006000	8488	4546
PKA1H1_STAND_000006100	5713	8488
PKA1H1_STAND_000006200	23355	5713
PKA1H1_STAND_000006400	5374	23355
PKA1H1_STAND_000006500	171	5374
PKA1H1_STAND_000006600	2937	171
PKA1H1_STAND_000006700	73	2937
PKA1H1_STAND_000006800	13	73
PKA1H1_STAND_000006900	537	13
PKA1H1_STAND_000007000	617	537
PKA1H1_STAND_000007100	772	617
PKA1H1_STAND_000007200	1544	772
PKA1H1_STAND_000007300	39	1544
PKA1H1_STAND_000007400	3539	39
PKA1H1_STAND_000007500	81086	3539
PKA1H1_STAND_000007800	8309	81086
PKA1H1_STAND_000007900	54536	8309
PKA1H1_STAND_000008400	6860	54536
PKA1H1_STAND_000008500	10889	6860
PKA1H1_STAND_000008700	29191	10889
PKA1H1_STAND_000008800	6369	29191
PKA1H1_STAND_000008900	6509	6369
PKA1H1_STAND_000009000	1248	6509
PKA1H1_STAND_000009100	2	1248
PKA1H1_STAND_000009200	3	2
PKA1H1_STAND_000009300	329	3
PKA1H1_STAND_000009400	128	329
PKA1H1_STAND_000009500	8572	128
PKA1H1_STAND_000009600	18538	8572
PKA1H1_STAND_000009800	0	18538
PKA1H1_STAND_010005000	69	0
PKA1H1_STAND_010005100	4338	69
PKA1H1_STAND_010005200	660	4338
PKA1H1_STAND_010005300	1528	660
PKA1H1_STAND_010005400	3541	1528
PKA1H1_STAND_010005500	3388	3541
PKA1H1_STAND_010005600	9515	3388
PKA1H1_STAND_010005700	1078	9515
PKA1H1_STAND_010005800	581	1078
PKA1H1_STAND_010005900	1611	581
PKA1H1_STAND_010006000	8024	1611
PKA1H1_STAND_010006200	1040	8024
PKA1H1_STAND_010006300	1720	1040
PKA1H1_STAND_010006400	1137	1720
PKA1H1_STAND_010006500	4957	1137
PKA1H1_STAND_010006600	2093	4957
PKA1H1_STAND_010006700	792	2093
PKA1H1_STAND_010006800	54475	792
PKA1H1_STAND_010007400	2147	54475
PKA1H1_STAND_010007500	1830	2147
PKA1H1_STAND_010007600	7456	1830
PKA1H1_STAND_010007700	10490	7456
PKA1H1_STAND_010007800	3472	10490
PKA1H1_STAND_010007900	1375	3472
PKA1H1_STAND_010008000	28364	1375
PKA1H1_STAND_010008400	1403	28364
PKA1H1_STAND_010008500	2333	1403
PKA1H1_STAND_010008600	1167	2333
PKA1H1_STAND_010008700	1380	1167
PKA1H1_STAND_010008800	440	1380
PKA1H1_STAND_010008900	2725	440
PKA1H1_STAND_010009000	2921	2725
PKA1H1_STAND_010009100	1328	2921
PKA1H1_STAND_010009200	1299	1328
PKA1H1_STAND_010009300	997	1299
PKA1H1_STAND_010009400	1847	997
PKA1H1_STAND_010009500	269	1847
PKA1H1_STAND_010009600	1044	269
PKA1H1_STAND_010009700	2709	1044
PKA1H1_STAND_010009800	2758	2709
PKA1H1_STAND_010009900	7187	2758
PKA1H1_STAND_010010000	4187	7187
PKA1H1_STAND_010010200	853	4187
PKA1H1_STAND_010010300	878	853
PKA1H1_STAND_010010400	959	878
PKA1H1_STAND_010010500	882	959
PKA1H1_STAND_010010600	105	882
PKA1H1_STAND_010010700	6707	105
PKA1H1_STAND_010010800	2256	6707
PKA1H1_STAND_010010900	2129	2256
