geneid	fiveprime	threeprime	Class
PKCLINC048_000005500	14463	NA	sicavarI
PKCLINC048_000005700	13085	14463	NA
PKCLINC048_000005800	14607	13085	sicavarI
PKCLINC048_000006000	9259	14607	NA
PKCLINC048_000006100	1338	9259	sicavarI
PKCLINC048_000006200	1248	1338	sicavarI
PKCLINC048_000006300	2708	1248	NA
PKCLINC048_000006400	88164	2708	sicavarI
PKCLINC048_000007200	4401	88164	NA
PKCLINC048_000007300	3169	4401	NA
PKCLINC048_000007400	28953	3169	NA
PKCLINC048_000007500	7317	28953	NA
PKCLINC048_000007600	30093	7317	sicavarI
PKCLINC048_000007900	7870	30093	sicavarI
PKCLINC048_000008000	23112	7870	sicavarI
PKCLINC048_000008200	45466	23112	sicavarI
PKCLINC048_000008700	13247	45466	NA
PKCLINC048_000008900	56100	13247	NA
PKCLINC048_000009200	7949	56100	NA
PKCLINC048_000009300	1693	7949	NA
PKCLINC048_000009400	4602	1693	NA
PKCLINC048_000009500	2954	4602	KIR
PKCLINC048_000009600	1111	2954	NA
PKCLINC048_000009700	3232	1111	KIR
PKCLINC048_000009800	0	3232	sicavarI
PKCLINC048_010005000	24993	0	NA
PKCLINC048_010005500	1827	24993	NA
PKCLINC048_010005600	3556	1827	NA
PKCLINC048_010005700	3424	3556	NA
PKCLINC048_010005800	9467	3424	NA
PKCLINC048_010005900	1078	9467	NA
PKCLINC048_010006000	583	1078	NA
PKCLINC048_010006100	1608	583	NA
PKCLINC048_010006200	8038	1608	NA
PKCLINC048_010006400	1044	8038	NA
PKCLINC048_010006500	1711	1044	NA
PKCLINC048_010006600	1139	1711	NA
PKCLINC048_010006700	4946	1139	NA
PKCLINC048_010006800	2106	4946	NA
PKCLINC048_010006900	797	2106	NA
PKCLINC048_010007000	3400	797	NA
PKCLINC048_010007100	935	3400	NA
PKCLINC048_010007200	1421	935	NA
PKCLINC048_010007300	3101	1421	NA
PKCLINC048_010007400	799	3101	NA
PKCLINC048_010007500	3301	799	NA
PKCLINC048_010007600	2113	3301	NA
PKCLINC048_010007700	1834	2113	NA
PKCLINC048_010007800	16830	1834	NA
PKCLINC048_010007900	7736	16830	sicavarI
PKCLINC048_010008100	2199	7736	NA
PKCLINC048_010008200	3977	2199	NA
PKCLINC048_010008300	493	3977	NA
PKCLINC048_010008400	1286	493	NA
PKCLINC048_010008500	1326	1286	NA
PKCLINC048_010008600	2329	1326	NA
PKCLINC048_010008700	1172	2329	NA
PKCLINC048_010008800	4396	1172	NA
PKCLINC048_010009000	2640	4396	NA
PKCLINC048_010009100	2938	2640	NA
PKCLINC048_010009200	1327	2938	NA
PKCLINC048_010009300	1314	1327	NA
PKCLINC048_010009400	1004	1314	NA
PKCLINC048_010009500	1866	1004	NA
PKCLINC048_010009600	267	1866	NA
PKCLINC048_010009700	1044	267	NA
PKCLINC048_010009800	895	1044	NA
PKCLINC048_010009900	1216	895	NA
PKCLINC048_010010000	2736	1216	NA
PKCLINC048_010010100	7193	2736	NA
PKCLINC048_010010200	1023	7193	NA
PKCLINC048_010010300	597	1023	NA
PKCLINC048_010010400	848	597	NA
PKCLINC048_010010500	876	848	NA
PKCLINC048_010010600	960	876	NA
PKCLINC048_010010700	861	960	NA
PKCLINC048_010010800	3324	861	NA
PKCLINC048_010010900	2030	3324	NA
PKCLINC048_010011000	2152	2030	NA
PKCLINC048_010011100	1200	2152	NA
PKCLINC048_010011200	3801	1200	NA
PKCLINC048_010011300	1317	3801	NA
PKCLINC048_010011400	1267	1317	NA
PKCLINC048_010011500	1402	1267	busco
PKCLINC048_010011600	961	1402	NA
PKCLINC048_010011700	277	961	NA
PKCLINC048_010011800	972	277	NA
PKCLINC048_010011900	888	972	NA
PKCLINC048_010012000	7332	888	NA
PKCLINC048_010012200	1436	7332	NA
PKCLINC048_010012300	1069	1436	NA
PKCLINC048_010012400	3769	1069	NA
PKCLINC048_010012500	702	3769	NA
PKCLINC048_010012600	2525	702	NA
PKCLINC048_010012700	2409	2525	NA
PKCLINC048_010012800	723	2409	NA
PKCLINC048_010012900	379	723	NA
PKCLINC048_010013000	1164	379	NA
PKCLINC048_010013100	1052	1164	NA
PKCLINC048_010013200	5973	1052	NA
PKCLINC048_010013400	1619	5973	NA
PKCLINC048_010013500	1953	1619	NA
PKCLINC048_010013600	759	1953	NA
PKCLINC048_010013700	13996	759	NA
PKCLINC048_010013900	1997	13996	NA
PKCLINC048_010014000	419	1997	NA
PKCLINC048_010014100	854	419	NA
PKCLINC048_010014200	327	854	NA
PKCLINC048_010014300	1174	327	NA
PKCLINC048_010014400	4252	1174	NA
PKCLINC048_010014600	510	4252	NA
PKCLINC048_010014700	754	510	NA
PKCLINC048_010014800	2013	754	NA
PKCLINC048_010014900	2974	2013	NA
PKCLINC048_010015000	1327	2974	NA
PKCLINC048_010015100	6054	1327	NA
PKCLINC048_010015300	1879	6054	NA
PKCLINC048_010015400	53	1879	NA
PKCLINC048_010015500	1129	53	NA
PKCLINC048_010015600	3105	1129	NA
PKCLINC048_010015700	1091	3105	NA
PKCLINC048_010015800	1157	1091	NA
PKCLINC048_010015900	971	1157	NA
PKCLINC048_010016000	1407	971	busco
PKCLINC048_010016100	2382	1407	NA
PKCLINC048_010016300	713	2382	NA
PKCLINC048_010016400	889	713	NA
PKCLINC048_010016500	1208	889	NA
PKCLINC048_010016600	1743	1208	NA
PKCLINC048_010016700	2549	1743	NA
PKCLINC048_010016800	5632	2549	NA
PKCLINC048_010017000	686	5632	NA
PKCLINC048_010017100	2101	686	NA
PKCLINC048_010017200	10700	2101	NA
PKCLINC048_010017500	1852	10700	NA
PKCLINC048_010017600	1007	1852	NA
PKCLINC048_010017700	1258	1007	NA
PKCLINC048_010017800	62	1258	NA
PKCLINC048_010017900	973	62	NA
PKCLINC048_010018000	815	973	NA
PKCLINC048_010018100	766	815	NA
PKCLINC048_010018200	7091	766	NA
PKCLINC048_010018400	1489	7091	NA
PKCLINC048_010018500	12540	1489	NA
PKCLINC048_010018600	21000	12540	NA
PKCLINC048_010019100	2482	21000	NA
PKCLINC048_010019200	603	2482	NA
PKCLINC048_010019300	495	603	NA
PKCLINC048_010019400	234	495	NA
PKCLINC048_010019500	1114	234	NA
PKCLINC048_010019600	1997	1114	NA
PKCLINC048_010019700	22403	1997	NA
PKCLINC048_010020100	1672	22403	NA
PKCLINC048_010020200	2885	1672	NA
PKCLINC048_010020300	2734	2885	NA
PKCLINC048_010020400	2272	2734	NA
PKCLINC048_010020500	620	2272	NA
PKCLINC048_010020600	9309	620	NA
PKCLINC048_010020800	17968	9309	NA
PKCLINC048_010021000	947	17968	NA
PKCLINC048_010021100	1041	947	NA
PKCLINC048_010021200	3210	1041	busco
PKCLINC048_010021300	340	3210	busco
PKCLINC048_010021400	1816	340	NA
PKCLINC048_010021500	2558	1816	NA
PKCLINC048_010021600	1934	2558	NA
PKCLINC048_010021700	1267	1934	NA
PKCLINC048_010021800	2379	1267	NA
PKCLINC048_010021900	1211	2379	NA
PKCLINC048_010022000	313	1211	NA
PKCLINC048_010022100	828	313	NA
PKCLINC048_010022200	484	828	NA
PKCLINC048_010022300	1858	484	NA
PKCLINC048_010022400	398	1858	NA
PKCLINC048_010022500	5266	398	NA
PKCLINC048_010022700	53	5266	NA
PKCLINC048_010022800	1989	53	NA
PKCLINC048_010022900	512	1989	NA
PKCLINC048_010023000	3935	512	NA
PKCLINC048_010023100	762	3935	NA
PKCLINC048_010023200	2304	762	NA
PKCLINC048_010023300	7133	2304	NA
PKCLINC048_010023400	9375	7133	NA
PKCLINC048_010023600	1058	9375	NA
PKCLINC048_010023700	2503	1058	busco
PKCLINC048_010023800	1364	2503	NA
PKCLINC048_010023900	2474	1364	NA
PKCLINC048_010024000	11840	2474	NA
PKCLINC048_010024100	2169	11840	NA
PKCLINC048_010024200	3428	2169	NA
PKCLINC048_010024300	2667	3428	NA
PKCLINC048_010024400	1274	2667	NA
PKCLINC048_010024500	1576	1274	NA
PKCLINC048_010024600	7164	1576	NA
PKCLINC048_010024700	1126	7164	sicavarI
PKCLINC048_010024800	0	1126	sicavarI
PKCLINC048_020005000	2111	0	NA
PKCLINC048_020005100	5521	2111	NA
PKCLINC048_020005200	9896	5521	NA
PKCLINC048_020005400	17736	9896	sicavarI
PKCLINC048_020005700	3773	17736	NA
PKCLINC048_020005800	4303	3773	NA
PKCLINC048_020005900	1469	4303	NA
PKCLINC048_020006000	4095	1469	NA
PKCLINC048_020006100	4785	4095	NA
PKCLINC048_020006200	5049	4785	NA
PKCLINC048_020006400	4307	5049	NA
PKCLINC048_020006500	1955	4307	NA
PKCLINC048_020006600	3837	1955	NA
PKCLINC048_020006700	10237	3837	NA
PKCLINC048_020006800	1728	10237	NA
PKCLINC048_020006900	169	1728	NA
PKCLINC048_020007000	1441	169	NA
PKCLINC048_020007100	2378	1441	NA
PKCLINC048_020007200	40	2378	NA
PKCLINC048_020007300	964	40	NA
PKCLINC048_020007400	1371	964	NA
PKCLINC048_020007500	1847	1371	NA
PKCLINC048_020007600	727	1847	NA
PKCLINC048_020007700	1557	727	NA
PKCLINC048_020007800	707	1557	NA
PKCLINC048_020007900	790	707	NA
PKCLINC048_020008000	3547	790	NA
PKCLINC048_020008100	14249	3547	sicavarI
PKCLINC048_020008200	4194	14249	NA
PKCLINC048_020008300	832	4194	NA
PKCLINC048_020008400	8251	832	NA
PKCLINC048_020008600	511	8251	NA
PKCLINC048_020008700	489	511	NA
PKCLINC048_020008800	268	489	NA
PKCLINC048_020008900	557	268	NA
PKCLINC048_020009000	190	557	NA
PKCLINC048_020009100	609	190	NA
PKCLINC048_020009200	1078	609	busco
PKCLINC048_020009300	447	1078	NA
PKCLINC048_020009400	806	447	NA
PKCLINC048_020009500	1048	806	NA
PKCLINC048_020009600	1400	1048	NA
PKCLINC048_020009700	643	1400	NA
PKCLINC048_020009800	429	643	NA
PKCLINC048_020009900	1160	429	NA
PKCLINC048_020010000	6832	1160	NA
PKCLINC048_020010200	553	6832	NA
PKCLINC048_020010300	563	553	NA
PKCLINC048_020010400	2412	563	NA
PKCLINC048_020010500	936	2412	NA
PKCLINC048_020010600	4383	936	NA
PKCLINC048_020010700	1047	4383	NA
PKCLINC048_020010800	1439	1047	NA
PKCLINC048_020010900	48	1439	NA
PKCLINC048_020011000	776	48	busco
PKCLINC048_020011100	1056	776	NA
PKCLINC048_020011200	2728	1056	NA
PKCLINC048_020011300	5080	2728	NA
PKCLINC048_020011400	968	5080	NA
PKCLINC048_020011500	1586	968	NA
PKCLINC048_020011600	340	1586	NA
PKCLINC048_020011700	167	340	NA
PKCLINC048_020011800	862	167	NA
PKCLINC048_020011900	1340	862	NA
PKCLINC048_020012000	1524	1340	NA
PKCLINC048_020012100	1123	1524	NA
PKCLINC048_020012200	803	1123	NA
PKCLINC048_020012300	1481	803	NA
PKCLINC048_020012400	2924	1481	NA
