#gene_name	#distance_next_to_gene_after_end	#distance_before_to_gene
PKNH_0000100	4637	NA
PKNH_0000200	3449	4637
PKNH_0000300	3809	3449
PKNH_0000400	3743	3809
PKNH_0000500	659	3743
PKNH_0000600	7409	659
PKNH_0000700	3083	7409
PKNH_0000800	153	3083
PKNH_0000900	1645	153
PKNH_0001000	5364	1645
PKNH_0001100	4551	5364
PKNH_0001200	16560	4551
PKNH_0001300	18311	16560
PKNH_0001400	1951	18311
PKNH_0001500	8520	1951
PKNH_0001600	1770	8520
PKNH_0001700	15705	1770
PKNH_0001800	4063	15705
PKNH_0001900	2601	4063
PKNH_0002000	3304	2601
PKNH_0002100	3300	3304
PKNH_0002200	4797	3300
PKNH_0002300	4075	4797
PKNH_0002400	1469	4075
PKNH_0002500	1628	1469
PKNH_0002600	1804	1628
PKNH_0002700	8033	1804
PKNH_0002800	738	8033
PKNH_0002900	5975	738
PKNH_0003000	927	5975
PKNH_0003100	6309	927
PKNH_0003200	2152	6309
PKNH_0003300	82	2152
PKNH_0003400	12366	82
PKNH_0003500	4608	12366
PKNH_0003600	212	4608
PKNH_0003700	5603	212
PKNH_0003800	2882	5603
PKNH_0003900	1066	2882
PKNH_0004000	6937	1066
PKNH_0004100	11425	6937
PKNH_0004200	1289	11425
PKNH_0004300	3273	1289
PKNH_0004400	1501	3273
PKNH_0004500	8144	1501
PKNH_0004600	957	8144
PKNH_0004700	3246	957
PKNH_0004800	3448	3246
PKNH_0004900	13071	3448
PKNH_0005000	274	13071
PKNH_0005100	3899	274
PKNH_0005200	6368	3899
PKNH_0005300	373	6368
PKNH_0005400	2273	373
PKNH_0005500	4808	2273
PKNH_0005600	2527	4808
PKNH_0005700	6307	2527
PKNH_0005800	3426	6307
PKNH_0005900	9877	3426
PKNH_0006000	16371	9877
PKNH_0006100	4392	16371
PKNH_0006200	0	4392
PKNH_0100100	4475	0
PKNH_0100200	4276	4475
PKNH_0100300	663	4276
PKNH_0100400	1535	663
PKNH_0100500	3548	1535
PKNH_0100600	3389	3548
PKNH_0100700	9532	3389
PKNH_0100800	1078	9532
PKNH_0100900	581	1078
PKNH_0101000	1615	581
PKNH_0101100	1662	1615
PKNH_0101200	996	1662
PKNH_0101300	1042	996
PKNH_0101400	1723	1042
PKNH_0101500	1138	1723
PKNH_0101600	4961	1138
PKNH_0101700	2095	4961
PKNH_0101800	797	2095
PKNH_0101900	3404	797
PKNH_0102000	967	3404
PKNH_0102100	1465	967
PKNH_0102200	3117	1465
PKNH_0102300	832	3117
PKNH_0102400	3294	832
PKNH_0102500	2151	3294
PKNH_0102600	1830	2151
PKNH_0102700	7480	1830
PKNH_0102800	3483	7480
PKNH_0102900	1376	3483
PKNH_0103000	2176	1376
PKNH_0103100	3976	2176
PKNH_0103200	485	3976
PKNH_0103300	1300	485
PKNH_0103400	1404	1300
PKNH_0103500	2349	1404
PKNH_0103600	1172	2349
PKNH_0103700	1385	1172
PKNH_0103800	439	1385
PKNH_0103900	2734	439
PKNH_0104000	2930	2734
PKNH_0104100	1334	2930
PKNH_0104200	1304	1334
PKNH_0104300	998	1304
PKNH_0104400	1849	998
PKNH_0104500	269	1849
PKNH_0104600	1047	269
PKNH_0104700	910	1047
PKNH_0104800	1218	910
PKNH_0104900	2770	1218
PKNH_0105000	7191	2770
PKNH_0105100	1023	7191
PKNH_0105200	607	1023
PKNH_0105300	855	607
PKNH_0105400	880	855
PKNH_0105500	959	880
PKNH_0105600	883	959
PKNH_0105700	3348	883
PKNH_0105800	2030	3348
PKNH_0105900	2133	2030
PKNH_0106000	1200	2133
PKNH_0106100	3944	1200
PKNH_0106200	1333	3944
PKNH_0106300	1262	1333
PKNH_0106400	1414	1262
PKNH_0106500	945	1414
PKNH_0106600	266	945
PKNH_0106700	971	266
PKNH_0106800	899	971
PKNH_0106900	3161	899
PKNH_0107000	1407	3161
PKNH_0107100	1473	1407
PKNH_0107200	1068	1473
PKNH_0107300	3775	1068
PKNH_0107400	701	3775
PKNH_0107500	2529	701
PKNH_0107600	2423	2529
PKNH_0107700	723	2423
PKNH_0107800	390	723
PKNH_0107900	1147	390
PKNH_0108000	1056	1147
PKNH_0108100	664	1056
PKNH_0108200	1439	664
PKNH_0108300	1617	1439
PKNH_0108400	1957	1617
PKNH_0108500	739	1957
PKNH_0108600	2438	739
PKNH_0108700	1522	2438
PKNH_0108800	2005	1522
PKNH_0108900	429	2005
PKNH_0109000	861	429
PKNH_0109100	325	861
PKNH_0109200	1168	325
PKNH_0109300	2561	1168
PKNH_0109400	851	2561
PKNH_0109500	518	851
PKNH_0109600	736	518
PKNH_0109700	2036	736
PKNH_0109800	3002	2036
PKNH_0109900	1349	3002
PKNH_0110000	430	1349
PKNH_0110100	3403	430
PKNH_0110200	1854	3403
PKNH_0110250	53	1854
PKNH_0110300	1110	53
PKNH_0110400	3124	1110
PKNH_0110500	1021	3124
PKNH_0110600	1155	1021
PKNH_0110700	971	1155
PKNH_0110800	1417	971
PKNH_0110900	539	1417
PKNH_0111000	604	539
PKNH_0111100	655	604
PKNH_0111200	890	655
PKNH_0111300	1205	890
PKNH_0111400	1732	1205
PKNH_0111500	2571	1732
PKNH_0111600	1602	2571
PKNH_0111700	364	1602
PKNH_0111800	534	364
PKNH_0111900	2158	534
PKNH_0112000	646	2158
PKNH_0112100	1290	646
PKNH_0112200	813	1290
PKNH_0112300	1884	813
PKNH_0112400	819	1884
PKNH_0112500	1188	819
PKNH_0112600	62	1188
PKNH_0112700	968	62
PKNH_0112800	810	968
PKNH_0112900	776	810
PKNH_0113000	693	776
PKNH_0113100	5227	693
PKNH_0113200	1488	5227
PKNH_0113300	7340	1488
PKNH_0113400	1460	7340
PKNH_0113500	4166	1460
PKNH_0113600	2656	4166
PKNH_0113700	540	2656
PKNH_0113800	7471	540
PKNH_0113900	1677	7471
PKNH_0114000	2834	1677
PKNH_0114100	2720	2834
PKNH_0114200	2284	2720
PKNH_0114300	622	2284
PKNH_0114400	1307	622
PKNH_0114500	1643	1307
PKNH_0114600	481	1643
PKNH_0114700	1834	481
PKNH_0114800	952	1834
PKNH_0114900	1093	952
PKNH_0115000	3227	1093
PKNH_0115100	324	3227
PKNH_0115200	1816	324
PKNH_0115300	2490	1816
PKNH_0115400	1941	2490
PKNH_0115500	1294	1941
PKNH_0115600	2366	1294
PKNH_0115700	1214	2366
PKNH_0115800	303	1214
PKNH_0115900	623	303
PKNH_0116000	547	623
PKNH_0116100	1879	547
PKNH_0116200	398	1879
PKNH_0116300	1198	398
