# BUSCO version is: 3.0.0 
# The lineage dataset is: protists_ensembl (Creation date: 2016-11-15, number of species: 33, number of BUSCOs: 215)
# To reproduce this run: python /software/applications/busco/3.0.0/scripts/run_BUSCO.py -i /storage/home/users/dro/PipelineAnalyses/Nu_Nu_Analysis/CompanionDownloads/Cultured/proteins.fasta -o Cultured_Pk -l /storage/home/users/dro/Tools/augustusConfig/protists_ensembl/ -m proteins -c 32 --long -z
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Missing
EPrGT00050000000134	Complete	PKA1H1_STAND_070027800.1	165.2	150
EPrGT00050000000311	Complete	PKA1H1_STAND_070027400.1	296.4	400
EPrGT00050000000320	Complete	PKA1H1_STAND_100014900.1	230.6	145
EPrGT00050000000367	Complete	PKA1H1_STAND_110007300.1	365.3	527
EPrGT00050000000386	Complete	PKA1H1_STAND_070012900.1	745.7	847
EPrGT00050000000428	Complete	PKA1H1_STAND_070016900.1	209.5	266
EPrGT00050000000439	Missing
EPrGT00050000000453	Complete	PKA1H1_STAND_130034600.1	642.2	697
EPrGT00050000000506	Missing
EPrGT00050000000516	Missing
EPrGT00050000000547	Missing
EPrGT00050000000567	Missing
EPrGT00050000000570	Complete	PKA1H1_STAND_130011200.1	465.8	662
EPrGT00050000000590	Missing
EPrGT00050000000597	Complete	PKA1H1_STAND_120037800.1	316.1	247
EPrGT00050000000633	Complete	PKA1H1_STAND_110045100.1	219.9	509
EPrGT00050000000638	Missing
EPrGT00050000000648	Complete	PKA1H1_STAND_130007800.1	605.9	632
EPrGT00050000000656	Complete	PKA1H1_STAND_010020100.1	177.2	205
EPrGT00050000000676	Complete	PKA1H1_STAND_080009900.1	122.0	96
EPrGT00050000000764	Complete	PKA1H1_STAND_140060300.1	194.0	175
EPrGT00050000000788	Missing
EPrGT00050000000790	Complete	PKA1H1_STAND_100011300.1	175.1	232
EPrGT00050000000820	Missing
EPrGT00050000000821	Missing
EPrGT00050000000845	Complete	PKA1H1_STAND_110006400.1	160.7	144
EPrGT00050000000974	Complete	PKA1H1_STAND_110015300.1	302.3	327
EPrGT00050000000978	Complete	PKA1H1_STAND_090028700.1	586.2	451
EPrGT00050000001072	Complete	PKA1H1_STAND_090013100.1	968.8	831
EPrGT00050000001214	Complete	PKA1H1_STAND_040007000.1	198.6	319
EPrGT00050000001261	Complete	PKA1H1_STAND_140046100.1	240.3	191
EPrGT00050000001321	Complete	PKA1H1_STAND_060023600.1	547.5	598
EPrGT00050000001331	Complete	PKA1H1_STAND_110017800.1	310.2	317
EPrGT00050000001346	Complete	PKA1H1_STAND_130060900.1	207.3	228
