# BUSCO version is: 3.0.0 
# The lineage dataset is: protists_ensembl (Creation date: 2016-11-15, number of species: 33, number of BUSCOs: 215)
# To reproduce this run: python /software/applications/busco/3.0.0/scripts/run_BUSCO.py -i /storage/home/users/dro/PipelineAnalyses/Nu_Nu_Analysis/CompanionDownloads/sks047/proteins.fasta -o sks047 -l /storage/home/users/dro/Tools/augustusConfig/protists_ensembl/ -m proteins -c 32 --long -z
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Missing
EPrGT00050000000134	Complete	PKCLINC047_070027700.1	164.7	150
EPrGT00050000000311	Complete	PKCLINC047_070027300.1	317.9	401
EPrGT00050000000320	Complete	PKCLINC047_100015100.1	230.6	145
EPrGT00050000000367	Complete	PKCLINC047_110007300.1	366.0	527
EPrGT00050000000386	Complete	PKCLINC047_070012900.1	745.7	846
EPrGT00050000000428	Complete	PKCLINC047_070016900.1	209.7	266
EPrGT00050000000439	Missing
EPrGT00050000000453	Complete	PKCLINC047_130033500.1	642.8	697
EPrGT00050000000506	Complete	PKCLINC047_100021600.1	640.0	761
EPrGT00050000000516	Missing
EPrGT00050000000547	Missing
EPrGT00050000000567	Missing
EPrGT00050000000570	Complete	PKCLINC047_130010600.1	467.2	678
EPrGT00050000000590	Missing
EPrGT00050000000597	Complete	PKCLINC047_120038000.1	317.5	249
EPrGT00050000000633	Complete	PKCLINC047_110044900.1	220.1	517
EPrGT00050000000638	Missing
EPrGT00050000000648	Complete	PKCLINC047_130007200.1	612.8	654
EPrGT00050000000656	Complete	PKCLINC047_010019700.1	178.5	280
EPrGT00050000000676	Complete	PKCLINC047_080010200.1	122.0	96
EPrGT00050000000764	Complete	PKCLINC047_140059400.1	193.8	175
EPrGT00050000000788	Missing
EPrGT00050000000790	Complete	PKCLINC047_100011500.1	175.2	232
EPrGT00050000000820	Missing
EPrGT00050000000821	Missing
EPrGT00050000000845	Complete	PKCLINC047_110006400.1	160.8	144
EPrGT00050000000974	Complete	PKCLINC047_110015400.1	301.3	328
EPrGT00050000000978	Complete	PKCLINC047_090027400.1	586.2	451
EPrGT00050000001072	Complete	PKCLINC047_090012100.1	969.4	830
EPrGT00050000001214	Complete	PKCLINC047_040006400.1	198.5	306
EPrGT00050000001261	Complete	PKCLINC047_140045700.1	240.3	191
EPrGT00050000001321	Complete	PKCLINC047_060023200.1	539.9	591
EPrGT00050000001331	Complete	PKCLINC047_110018200.1	307.8	316
EPrGT00050000001346	Complete	PKCLINC047_130060300.1	206.7	226
EPrGT00050000001368	Complete	PKCLINC047_140015500.1	420.6	564
EPrGT00050000001406	Complete	PKCLINC047_130011300.1	479.8	425
EPrGT00050000001412	Complete	PKCLINC047_030008800.1	3435.3	1958
EPrGT00050000001435	Complete	PKCLINC047_120020000.1	886.1	746
EPrGT00050000001604	Complete	PKCLINC047_120013800.1	110.4	105
EPrGT00050000001796	Complete	PKCLINC047_080016800.1	202.7	249
EPrGT00050000001854	Complete	PKCLINC047_130008000.1	210.5	220
EPrGT00050000001855	Complete	PKCLINC047_100010500.1	295.6	342
EPrGT00050000001885	Complete	PKCLINC047_130051800.1	239.8	240
EPrGT00050000001927	Missing
EPrGT00050000001937	Complete	PKCLINC047_040010900.1	415.9	505
EPrGT00050000002100	Complete	PKCLINC047_110017200.1	118.3	103
EPrGT00050000002128	Complete	PKCLINC047_110024300.1	1362.1	1375
EPrGT00050000002142	Complete	PKCLINC047_110031200.1	172.2	162
EPrGT00050000002199	Missing
EPrGT00050000002214	Missing
EPrGT00050000002346	Complete	PKCLINC047_140007100.1	181.9	216
EPrGT00050000002389	Complete	PKCLINC047_140027500.1	140.7	232
EPrGT00050000002467	Missing
EPrGT00050000002494	Missing
EPrGT00050000002505	Complete	PKCLINC047_050017000.1	423.3	265
EPrGT00050000002533	Missing
EPrGT00050000002690	Complete	PKCLINC047_080039300.1	269.9	312
EPrGT00050000002851	Complete	PKCLINC047_140050200.1	248.9	298
EPrGT00050000002854	Complete	PKCLINC047_030012500.1	492.6	380
EPrGT00050000002860	Complete	PKCLINC047_020010200.1	339.6	337
EPrGT00050000002879	Complete	PKCLINC047_060011200.1	112.1	159
EPrGT00050000002887	Complete	PKCLINC047_120065700.1	312.7	304
EPrGT00050000003007	Complete	PKCLINC047_100022600.1	172.9	200
EPrGT00050000003076	Complete	PKCLINC047_090037600.1	387.7	406
EPrGT00050000003113	Missing
EPrGT00050000003116	Complete	PKCLINC047_080027000.1	176.8	108
EPrGT00050000003119	Complete	PKCLINC047_070026500.1	137.8	87
EPrGT00050000003122	Missing
EPrGT00050000003160	Missing
EPrGT00050000003199	Complete	PKCLINC047_140047900.1	174.0	144
EPrGT00050000003237	Complete	PKCLINC047_090027600.1	134.5	91
EPrGT00050000003239	Complete	PKCLINC047_100021300.1	362.4	454
EPrGT00050000003303	Missing
EPrGT00050000003367	Complete	PKCLINC047_130047700.1	138.6	126
EPrGT00050000003390	Complete	PKCLINC047_030023500.1	371.8	306
EPrGT00050000003415	Missing
EPrGT00050000003588	Missing
EPrGT00050000003603	Complete	PKCLINC047_140007600.1	192.3	194
EPrGT00050000003615	Missing
EPrGT00050000003620	Missing
EPrGT00050000003868	Missing
EPrGT00050000003931	Complete	PKCLINC047_090026700.1	189.0	198
EPrGT00050000003964	Complete	PKCLINC047_110007900.1	824.3	505
EPrGT00050000004000	Complete	PKCLINC047_070008200.1	190.1	163
EPrGT00050000004027	Missing
EPrGT00050000004090	Complete	PKCLINC047_040019400.1	877.8	746
EPrGT00050000004139	Complete	PKCLINC047_020008400.1	474.3	383
EPrGT00050000004141	Complete	PKCLINC047_080038400.1	1323.0	795
EPrGT00050000004155	Missing
EPrGT00050000004169	Complete	PKCLINC047_010019800.1	200.1	201
EPrGT00050000004171	Complete	PKCLINC047_120015000.1	207.5	170
EPrGT00050000004283	Complete	PKCLINC047_060014600.1	546.2	481
EPrGT00050000004299	Complete	PKCLINC047_110045400.1	222.7	307
EPrGT00050000004324	Complete	PKCLINC047_140048300.1	149.7	89
EPrGT00050000004348	Missing
EPrGT00050000004425	Complete	PKCLINC047_080017700.1	513.6	435
EPrGT00050000004725	Complete	PKCLINC047_130053500.1	312.9	281
EPrGT00050000004757	Missing
EPrGT00050000004774	Complete	PKCLINC047_090042200.1	177.7	266
EPrGT00050000004785	Complete	PKCLINC047_080040800.1	505.1	430
EPrGT00050000004860	Complete	PKCLINC047_010022100.1	403.2	424
EPrGT00050000004932	Missing
EPrGT00050000004969	Complete	PKCLINC047_060007600.1	131.3	85
EPrGT00050000005003	Complete	PKCLINC047_090029600.1	262.9	198
EPrGT00050000005020	Complete	PKCLINC047_080012200.1	264.8	379
EPrGT00050000005111	Complete	PKCLINC047_090046100.1	183.4	100
EPrGT00050000005127	Complete	PKCLINC047_100034000.1	125.8	73
EPrGT00050000005128	Complete	PKCLINC047_120019600.1	143.5	139
EPrGT00050000005163	Missing
EPrGT00050000005182	Complete	PKCLINC047_080044800.1	153.5	121
EPrGT00050000005194	Complete	PKCLINC047_140020600.1	240.4	208
EPrGT00050000005212	Missing
EPrGT00050000005290	Missing
EPrGT00050000005304	Complete	PKCLINC047_020011900.1	255.3	272
EPrGT00050000005330	Complete	PKCLINC047_140011600.1	97.8	117
EPrGT00050000005339	Complete	PKCLINC047_050015100.1	196.3	142
EPrGT00050000005370	Complete	PKCLINC047_100009500.1	287.8	342
EPrGT00050000005384	Complete	PKCLINC047_040006600.1	128.0	76
EPrGT00050000005427	Fragmented	PKCLINC047_120025800.1	214.5	154
EPrGT00050000005439	Complete	PKCLINC047_090044000.1	203.8	185
EPrGT00050000005459	Complete	PKCLINC047_030020600.1	131.2	88
EPrGT00050000005482	Complete	PKCLINC047_120064500.1	231.2	168
EPrGT00050000005485	Duplicated	PKCLINC047_110035400.1	163.6	132
EPrGT00050000005485	Duplicated	PKCLINC047_110036000.1	163.6	132
EPrGT00050000005498	Complete	PKCLINC047_100033700.1	190.9	117
EPrGT00050000005502	Missing
EPrGT00050000005514	Complete	PKCLINC047_090032500.1	328.7	241
EPrGT00050000005516	Missing
EPrGT00050000005533	Complete	PKCLINC047_080014000.1	312.1	218
EPrGT00050000005562	Complete	PKCLINC047_080040200.1	162.5	112
EPrGT00050000005628	Missing
EPrGT00050000005659	Missing
EPrGT00050000005670	Complete	PKCLINC047_100017000.1	640.0	410
EPrGT00050000005683	Complete	PKCLINC047_140067200.1	131.5	78
EPrGT00050000005687	Complete	PKCLINC047_120032800.1	183.9	108
EPrGT00050000005712	Complete	PKCLINC047_020017400.1	459.8	299
EPrGT00050000005714	Missing
EPrGT00050000005721	Complete	PKCLINC047_120048800.1	264.0	258
EPrGT00050000005732	Complete	PKCLINC047_010011100.1	404.6	238
EPrGT00050000005743	Complete	PKCLINC047_060006400.1	256.5	191
EPrGT00050000005769	Missing
EPrGT00050000005783	Complete	PKCLINC047_140020500.1	145.4	162
EPrGT00050000005798	Complete	PKCLINC047_030013900.1	208.1	181
EPrGT00050000005800	Complete	PKCLINC047_010015600.1	416.9	270
EPrGT00050000005808	Complete	PKCLINC047_030026100.1	213.4	133
EPrGT00050000005815	Missing
EPrGT00050000005840	Complete	PKCLINC047_100008300.1	226.7	159
EPrGT00050000005847	Complete	PKCLINC047_030019200.1	122.7	131
EPrGT00050000005852	Complete	PKCLINC047_090042500.1	134.9	95
EPrGT00050000005857	Complete	PKCLINC047_050008700.1	146.7	121
EPrGT00050000005858	Complete	PKCLINC047_110040600.1	271.0	168
EPrGT00050000005863	Complete	PKCLINC047_090046700.1	120.7	73
EPrGT00050000005885	Complete	PKCLINC047_100036000.1	143.0	95
EPrGT00050000005914	Complete	PKCLINC047_040028800.1	137.5	123
EPrGT00050000005939	Complete	PKCLINC047_040017300.1	340.4	223
EPrGT00050000005940	Missing
EPrGT00050000005944	Complete	PKCLINC047_130055800.1	200.6	147
EPrGT00050000005954	Missing
EPrGT00050000005957	Complete	PKCLINC047_030023000.1	318.5	308
EPrGT00050000005966	Complete	PKCLINC047_120068100.1	476.2	335
EPrGT00050000005974	Missing
EPrGT00050000005991	Missing
EPrGT00050000005993	Complete	PKCLINC047_130023100.1	106.3	117
EPrGT00050000005995	Complete	PKCLINC047_070005600.1	151.6	126
EPrGT00050000006007	Missing
EPrGT00050000006021	Complete	PKCLINC047_070013700.1	254.2	296
EPrGT00050000006026	Complete	PKCLINC047_130015500.1	312.4	297
EPrGT00050000006045	Complete	PKCLINC047_110022400.1	399.9	335
EPrGT00050000006077	Complete	PKCLINC047_090030700.1	117.2	78
EPrGT00050000006079	Complete	PKCLINC047_120055500.1	124.8	74
EPrGT00050000006089	Complete	PKCLINC047_120072700.1	377.0	214
