# BUSCO version is: 3.0.0 
# The lineage dataset is: protists_ensembl (Creation date: 2016-11-15, number of species: 33, number of BUSCOs: 215)
# To reproduce this run: python /software/applications/busco/3.0.0/scripts/run_BUSCO.py -i ../Index/Pknowlesi_proteins.fasta -o PKNH -l /storage/home/users/dro/Tools/augustusConfig/protists_ensembl/ -m proteins -c 32 --long -z
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Missing
EPrGT00050000000134	Complete	PKNH_0723100.1:pep	165.2	150
EPrGT00050000000311	Complete	PKNH_0722700.1:pep	318.5	400
EPrGT00050000000320	Complete	PKNH_1010100.1:pep	230.6	145
EPrGT00050000000367	Complete	PKNH_1102400.1:pep	365.3	527
EPrGT00050000000386	Complete	PKNH_0708100.1:pep	745.7	847
EPrGT00050000000428	Complete	PKNH_0712200.1:pep	209.5	266
EPrGT00050000000439	Missing
EPrGT00050000000453	Complete	PKNH_1328900.1:pep	642.2	697
EPrGT00050000000506	Complete	PKNH_1015900.1:pep	641.1	762
EPrGT00050000000516	Missing
EPrGT00050000000547	Missing
EPrGT00050000000567	Missing
EPrGT00050000000570	Complete	PKNH_1305900.1:pep	465.8	662
EPrGT00050000000590	Missing
EPrGT00050000000597	Complete	PKNH_1232800.1:pep	317.4	249
EPrGT00050000000633	Complete	PKNH_1139500.1:pep	219.9	509
EPrGT00050000000638	Missing
EPrGT00050000000648	Complete	PKNH_1302500.1:pep	614.6	651
EPrGT00050000000656	Complete	PKNH_0115000.1:pep	177.2	205
EPrGT00050000000676	Complete	PKNH_0804900.1:pep	122.0	96
EPrGT00050000000764	Complete	PKNH_1455000.1:pep	194.0	175
EPrGT00050000000788	Missing
EPrGT00050000000790	Complete	PKNH_1006500.1:pep	175.1	232
EPrGT00050000000820	Missing
EPrGT00050000000821	Missing
EPrGT00050000000845	Complete	PKNH_1101500.1:pep	160.7	144
EPrGT00050000000974	Complete	PKNH_1110400.1:pep	302.3	327
EPrGT00050000000978	Complete	PKNH_0923200.1:pep	586.2	451
EPrGT00050000001072	Complete	PKNH_0907900.1:pep	968.8	831
EPrGT00050000001214	Complete	PKNH_0402200.1:pep	198.6	319
EPrGT00050000001261	Complete	PKNH_1441600.1:pep	240.3	191
EPrGT00050000001321	Complete	PKNH_0618400.1:pep	547.5	598
EPrGT00050000001331	Complete	PKNH_1113000.1:pep	310.2	317
EPrGT00050000001346	Complete	PKNH_1356000.1:pep	207.3	228
EPrGT00050000001368	Complete	PKNH_1411200.1:pep	422.0	536
EPrGT00050000001406	Complete	PKNH_1306700.1:pep	479.3	425
EPrGT00050000001412	Complete	PKNH_0303500.1:pep	3435.9	1962
EPrGT00050000001435	Complete	PKNH_1215200.1:pep	889.4	762
EPrGT00050000001604	Complete	PKNH_1208900.1:pep	118.2	122
EPrGT00050000001796	Complete	PKNH_0811500.1:pep	205.3	249
EPrGT00050000001854	Complete	PKNH_1303300.1:pep	209.8	217
EPrGT00050000001855	Complete	PKNH_1005500.1:pep	296.2	341
EPrGT00050000001885	Complete	PKNH_1347400.1:pep	238.2	245
EPrGT00050000001927	Missing
EPrGT00050000001937	Complete	PKNH_0406700.1:pep	415.3	511
EPrGT00050000002100	Complete	PKNH_1112200.1:pep	118.3	103
EPrGT00050000002128	Complete	PKNH_1119200.1:pep	1362.5	1376
EPrGT00050000002142	Complete	PKNH_1126300.1:pep	172.1	162
EPrGT00050000002199	Missing
EPrGT00050000002214	Missing
EPrGT00050000002346	Complete	PKNH_1402800.1:pep	184.0	220
EPrGT00050000002389	Complete	PKNH_1423400.1:pep	140.7	249
EPrGT00050000002467	Missing
EPrGT00050000002494	Missing
EPrGT00050000002505	Complete	PKNH_0512800.1:pep	423.3	265
EPrGT00050000002533	Missing
EPrGT00050000002690	Complete	PKNH_0834700.1:pep	269.9	312
EPrGT00050000002851	Complete	PKNH_1446100.1:pep	250.4	297
EPrGT00050000002854	Complete	PKNH_0307200.1:pep	487.1	383
EPrGT00050000002860	Complete	PKNH_0205800.1:pep	338.7	337
EPrGT00050000002879	Complete	PKNH_0606400.1:pep	112.1	159
EPrGT00050000002887	Complete	PKNH_1260800.1:pep	312.8	304
EPrGT00050000003007	Complete	PKNH_1016900.1:pep	172.9	200
EPrGT00050000003076	Complete	PKNH_0933000.1:pep	387.8	406
EPrGT00050000003113	Missing
EPrGT00050000003116	Complete	PKNH_0821700.1:pep	176.6	108
EPrGT00050000003119	Complete	PKNH_0721900.1:pep	137.8	87
EPrGT00050000003122	Missing
EPrGT00050000003160	Missing
EPrGT00050000003199	Complete	PKNH_1443800.1:pep	174.0	144
EPrGT00050000003237	Complete	PKNH_0923400.1:pep	134.5	91
EPrGT00050000003239	Complete	PKNH_1015600.1:pep	362.4	454
EPrGT00050000003303	Missing
EPrGT00050000003367	Complete	PKNH_1343300.1:pep	138.6	126
EPrGT00050000003390	Complete	PKNH_0318000.1:pep	370.9	323
EPrGT00050000003415	Missing
EPrGT00050000003588	Missing
EPrGT00050000003603	Complete	PKNH_1403300.1:pep	193.0	194
EPrGT00050000003615	Missing
EPrGT00050000003620	Missing
EPrGT00050000003868	Missing
EPrGT00050000003931	Complete	PKNH_0922500.1:pep	189.0	198
EPrGT00050000003964	Complete	PKNH_1103000.1:pep	824.2	505
EPrGT00050000004000	Complete	PKNH_0703400.1:pep	190.1	163
EPrGT00050000004027	Missing
EPrGT00050000004090	Complete	PKNH_0415000.1:pep	877.8	746
EPrGT00050000004139	Complete	PKNH_0204000.1:pep	473.2	370
EPrGT00050000004141	Complete	PKNH_0833800.1:pep	1322.6	795
EPrGT00050000004155	Missing
EPrGT00050000004169	Complete	PKNH_0115100.1:pep	199.7	190
EPrGT00050000004171	Complete	PKNH_1210100.1:pep	207.5	170
EPrGT00050000004283	Complete	PKNH_0609600.1:pep	546.2	481
EPrGT00050000004299	Complete	PKNH_1140100.1:pep	222.5	308
EPrGT00050000004324	Complete	PKNH_1444200.1:pep	149.7	89
EPrGT00050000004348	Missing
EPrGT00050000004425	Complete	PKNH_0812400.1:pep	513.6	435
EPrGT00050000004725	Complete	PKNH_1349100.1:pep	312.0	281
EPrGT00050000004757	Missing
EPrGT00050000004774	Complete	PKNH_0937600.1:pep	177.8	253
EPrGT00050000004785	Complete	PKNH_0836300.1:pep	505.7	431
EPrGT00050000004860	Complete	PKNH_0117400.1:pep	403.6	424
EPrGT00050000004932	Complete	PKNH_0810400.1:pep	315.7	208
EPrGT00050000004969	Complete	PKNH_0602800.1:pep	131.3	85
EPrGT00050000005003	Complete	PKNH_0925300.1:pep	263.7	198
EPrGT00050000005020	Complete	PKNH_0806900.1:pep	264.7	381
EPrGT00050000005111	Complete	PKNH_0941300.1:pep	183.4	100
EPrGT00050000005127	Complete	PKNH_1027800.1:pep	125.8	73
EPrGT00050000005128	Complete	PKNH_1214800.1:pep	143.5	139
EPrGT00050000005163	Missing
EPrGT00050000005182	Complete	PKNH_0839800.1:pep	153.8	121
EPrGT00050000005194	Complete	PKNH_1416400.1:pep	240.4	208
EPrGT00050000005212	Missing
EPrGT00050000005290	Missing
EPrGT00050000005304	Complete	PKNH_0207400.1:pep	255.3	272
EPrGT00050000005330	Complete	PKNH_1407300.1:pep	97.3	117
EPrGT00050000005339	Complete	PKNH_0510900.1:pep	196.3	142
EPrGT00050000005370	Complete	PKNH_1004500.1:pep	287.8	342
EPrGT00050000005384	Complete	PKNH_0402400.1:pep	128.0	76
EPrGT00050000005427	Fragmented	PKNH_1220500.1:pep	214.5	154
EPrGT00050000005439	Complete	PKNH_0939400.1:pep	203.8	185
EPrGT00050000005459	Complete	PKNH_0315100.1:pep	131.2	88
EPrGT00050000005482	Complete	PKNH_1259500.1:pep	231.2	168
EPrGT00050000005485	Complete	PKNH_1130400.1:pep	163.6	132
EPrGT00050000005498	Complete	PKNH_1027500.1:pep	189.9	123
EPrGT00050000005502	Missing
EPrGT00050000005514	Complete	PKNH_0928100.1:pep	329.7	241
EPrGT00050000005516	Missing
EPrGT00050000005533	Complete	PKNH_0808700.1:pep	312.1	218
EPrGT00050000005562	Complete	PKNH_0835600.1:pep	162.5	112
EPrGT00050000005628	Missing
EPrGT00050000005659	Missing
EPrGT00050000005670	Complete	PKNH_1012000.1:pep	640.0	410
EPrGT00050000005683	Complete	PKNH_1462900.1:pep	131.5	78
EPrGT00050000005687	Complete	PKNH_1227600.1:pep	183.9	108
EPrGT00050000005712	Complete	PKNH_0212600.1:pep	459.8	299
EPrGT00050000005714	Missing
EPrGT00050000005721	Complete	PKNH_1243700.1:pep	264.3	213
EPrGT00050000005732	Complete	PKNH_0106400.1:pep	404.6	238
EPrGT00050000005743	Complete	PKNH_0601600.1:pep	256.7	191
EPrGT00050000005769	Missing
EPrGT00050000005783	Complete	PKNH_1416300.1:pep	146.0	169
EPrGT00050000005798	Complete	PKNH_0308500.1:pep	208.1	181
EPrGT00050000005800	Complete	PKNH_0110800.1:pep	418.2	270
EPrGT00050000005808	Complete	PKNH_0320600.1:pep	213.4	133
EPrGT00050000005815	Missing
EPrGT00050000005840	Complete	PKNH_1003300.1:pep	226.7	159
