#gene_name	#distance_next_to_gene_after_end	#distance_before_to_gene
PKCLINC047_000005100	6189	NA
PKCLINC047_000005200	197	6189
PKCLINC047_000005300	21760	197
PKCLINC047_000005800	25998	21760
PKCLINC047_000006100	5492	25998
PKCLINC047_000006300	10393	
PKCLINC047_000006600	4100	10393
PKCLINC047_000006700	17819	4100
PKCLINC047_000007200	12184	17819
PKCLINC047_000007500	1328	12184
PKCLINC047_000007600	12019	1328
PKCLINC047_000007700	25240	12019
PKCLINC047_000007900	101	25240
PKCLINC047_000008000	2288	101
PKCLINC047_000008100	8166	2288
PKCLINC047_000008200	9300	8166
PKCLINC047_000008400	6466	9300
PKCLINC047_000008500	29659	6466
PKCLINC047_000008600	43279	29659
PKCLINC047_000009200	1580	43279
PKCLINC047_000009300	806	1580
PKCLINC047_000009400	3022	806
PKCLINC047_000009500	17686	3022
PKCLINC047_000009700	4900	17686
PKCLINC047_000009800	30675	4900
PKCLINC047_000010400	1428	30675
PKCLINC047_000010500	18441	1428
PKCLINC047_000010700	7321	18441
PKCLINC047_000010800	10728	7321
PKCLINC047_000011000	1246	10728
PKCLINC047_000011100	12535	1246
PKCLINC047_000011200	1585	12535
PKCLINC047_000011300	36348	1585
PKCLINC047_000011800	2445	36348
PKCLINC047_000011900	0	2445
PKCLINC047_010005000	851	0
PKCLINC047_010005100	3537	851
PKCLINC047_010005200	3430	3537
PKCLINC047_010005300	9559	3430
PKCLINC047_010005400	1076	9559
PKCLINC047_010005500	582	1076
PKCLINC047_010005600	1616	582
PKCLINC047_010005700	8021	1616
PKCLINC047_010005900	1047	8021
PKCLINC047_010006000	1716	1047
PKCLINC047_010006100	1116	1716
PKCLINC047_010006200	4953	1116
PKCLINC047_010006300	2107	4953
PKCLINC047_010006400	792	2107
PKCLINC047_010006500	3407	792
PKCLINC047_010006600	928	3407
PKCLINC047_010006700	1429	928
PKCLINC047_010006800	3109	1429
PKCLINC047_010006900	815	3109
PKCLINC047_010007000	3293	815
PKCLINC047_010007100	2124	3293
PKCLINC047_010007200	1848	2124
PKCLINC047_010007300	1437	1848
PKCLINC047_010007400	7171	1437
PKCLINC047_010007500	14699	7171
PKCLINC047_010007600	1323	14699
PKCLINC047_010007700	2178	1323
PKCLINC047_010007800	3988	2178
PKCLINC047_010007900	491	3988
PKCLINC047_010008000	1293	491
PKCLINC047_010008100	1301	1293
PKCLINC047_010008200	2320	1301
PKCLINC047_010008300	1169	2320
PKCLINC047_010008400	4370	1169
PKCLINC047_010008600	2664	4370
PKCLINC047_010008700	2947	2664
PKCLINC047_010008800	1322	2947
PKCLINC047_010008900	1314	1322
PKCLINC047_010009000	997	1314
PKCLINC047_010009100	1855	997
PKCLINC047_010009200	267	1855
PKCLINC047_010009300	1043	267
PKCLINC047_010009400	923	1043
PKCLINC047_010009500	1216	923
PKCLINC047_010009600	2755	1216
PKCLINC047_010009700	7240	2755
PKCLINC047_010009800	1018	7240
PKCLINC047_010009900	596	1018
PKCLINC047_010010000	846	596
PKCLINC047_010010100	893	846
PKCLINC047_010010200	964	893
PKCLINC047_010010300	9857	964
PKCLINC047_010010500	2039	9857
PKCLINC047_010010600	7458	2039
PKCLINC047_010010800	3771	7458
PKCLINC047_010010900	1341	3771
PKCLINC047_010011000	1275	1341
PKCLINC047_010011100	1419	1275
PKCLINC047_010011200	938	1419
PKCLINC047_010011300	270	938
PKCLINC047_010011400	965	270
PKCLINC047_010011500	880	965
PKCLINC047_010011600	7311	880
PKCLINC047_010011800	1423	7311
PKCLINC047_010011900	1067	1423
PKCLINC047_010012000	3792	1067
PKCLINC047_010012100	693	3792
PKCLINC047_010012200	2512	693
PKCLINC047_010012300	2410	2512
PKCLINC047_010012400	721	2410
PKCLINC047_010012500	376	721
PKCLINC047_010012600	1166	376
PKCLINC047_010012700	1046	1166
PKCLINC047_010012800	5950	1046
PKCLINC047_010013000	1617	5950
PKCLINC047_010013100	1922	1617
PKCLINC047_010013200	716	1922
PKCLINC047_010013300	13910	716
PKCLINC047_010013500	2012	13910
PKCLINC047_010013600	412	2012
PKCLINC047_010013700	843	412
PKCLINC047_010013800	338	843
PKCLINC047_010013900	1177	338
PKCLINC047_010014000	2681	1177
PKCLINC047_010014100	984	2681
PKCLINC047_010014200	525	984
PKCLINC047_010014300	715	525
PKCLINC047_010014400	2022	715
PKCLINC047_010014500	2984	2022
PKCLINC047_010014600	1327	2984
PKCLINC047_010014700	435	1327
PKCLINC047_010014800	3371	435
PKCLINC047_010014900	1868	3371
PKCLINC047_010015000	53	1868
PKCLINC047_010015100	1098	53
PKCLINC047_010015200	3196	1098
PKCLINC047_010015300	1035	3196
PKCLINC047_010015400	1176	1035
PKCLINC047_010015500	969	1176
PKCLINC047_010015600	1396	969
PKCLINC047_010015700	519	1396
PKCLINC047_010015800	612	519
PKCLINC047_010015900	670	612
PKCLINC047_010016000	892	670
PKCLINC047_010016100	1201	892
PKCLINC047_010016200	1737	1201
PKCLINC047_010016300	2550	1737
PKCLINC047_010016400	1665	2550
PKCLINC047_010016500	351	1665
PKCLINC047_010016600	678	351
PKCLINC047_010016700	2058	678
PKCLINC047_010016800	645	2058
PKCLINC047_010016900	8552	645
PKCLINC047_010017100	1886	8552
PKCLINC047_010017200	874	1886
PKCLINC047_010017300	1209	874
PKCLINC047_010017400	62	1209
PKCLINC047_010017500	934	62
PKCLINC047_010017600	834	934
PKCLINC047_010017700	767	834
PKCLINC047_010017800	690	767
PKCLINC047_010017900	5226	690
PKCLINC047_010018000	1512	5226
PKCLINC047_010018100	12092	1512
PKCLINC047_010018200	11453	12092
PKCLINC047_010018400	9261	11453
PKCLINC047_010018600	1674	9261
PKCLINC047_010018700	2869	1674
PKCLINC047_010018800	2719	2869
PKCLINC047_010018900	2289	2719
PKCLINC047_010019000	633	2289
PKCLINC047_010019100	1304	633
PKCLINC047_010019200	1535	1304
PKCLINC047_010019300	18058	1535
PKCLINC047_010019500	972	18058
PKCLINC047_010019600	1050	972
PKCLINC047_010019700	3209	1050
PKCLINC047_010019800	337	3209
PKCLINC047_010019900	1825	337
PKCLINC047_010020000	2471	1825
PKCLINC047_010020100	1932	2471
PKCLINC047_010020200	1265	1932
PKCLINC047_010020300	2387	1265
PKCLINC047_010020400	1205	2387
PKCLINC047_010020500	226	1205
PKCLINC047_010020600	618	226
PKCLINC047_010020700	535	618
PKCLINC047_010020800	1858	535
PKCLINC047_010020900	398	1858
PKCLINC047_010021000	5419	398
PKCLINC047_010021200	1963	5419
PKCLINC047_010021300	436	1963
PKCLINC047_010021400	3752	436
PKCLINC047_010021500	715	3752
PKCLINC047_010021600	19839	715
PKCLINC047_010021800	1118	19839
PKCLINC047_010021900	2766	1118
PKCLINC047_010022000	1066	2766
PKCLINC047_010022100	2476	1066
PKCLINC047_010022200	1352	2476
PKCLINC047_010022300	2475	1352
PKCLINC047_010022400	11844	2475
PKCLINC047_010022500	2168	11844
PKCLINC047_010022600	3387	2168
PKCLINC047_010022700	2648	3387
PKCLINC047_010022800	1668	2648
PKCLINC047_010022900	0	1668
PKCLINC047_020005000	3722	0
PKCLINC047_020005100	4350	3722
PKCLINC047_020005200	1374	4350
PKCLINC047_020005300	4038	1374
PKCLINC047_020005400	4736	4038
PKCLINC047_020005500	2928	4736
PKCLINC047_020005600	521	2928
PKCLINC047_020005700	4349	521
PKCLINC047_020005800	1936	4349
PKCLINC047_020005900	3800	1936
PKCLINC047_020006000	12196	3800
PKCLINC047_020006100	169	12196
PKCLINC047_020006200	1432	169
PKCLINC047_020006300	2360	1432
PKCLINC047_020006400	40	2360
PKCLINC047_020006500	944	40
PKCLINC047_020006600	1360	944
PKCLINC047_020006700	1863	1360
PKCLINC047_020006800	721	1863
PKCLINC047_020006900	1601	721
PKCLINC047_020007000	702	1601
PKCLINC047_020007100	768	702
PKCLINC047_020007200	23371	768
PKCLINC047_020007300	2082	23371
PKCLINC047_020007400	4200	2082
PKCLINC047_020007500	831	4200
PKCLINC047_020007600	7962	831
PKCLINC047_020007800	510	7962
PKCLINC047_020007900	445	510
PKCLINC047_020008000	258	445
