geneid	fiveprime	threeprime	Class
PKA1H1_STAND_000005200	770	NA	NA
PKA1H1_STAND_000005300	23419	770	NA
PKA1H1_STAND_000005700	3745	23419	sicavarI
PKA1H1_STAND_000005800	927	3745	NA
PKA1H1_STAND_000005900	4546	927	NA
PKA1H1_STAND_000006000	8488	4546	NA
PKA1H1_STAND_000006100	5713	8488	sicavarI
PKA1H1_STAND_000006200	23355	5713	sicavarI
PKA1H1_STAND_000006400	5374	23355	sicavarI
PKA1H1_STAND_000006500	171	5374	NA
PKA1H1_STAND_000006600	2937	171	NA
PKA1H1_STAND_000006700	73	2937	NA
PKA1H1_STAND_000006800	13	73	NA
PKA1H1_STAND_000006900	537	13	NA
PKA1H1_STAND_000007000	617	537	NA
PKA1H1_STAND_000007100	772	617	NA
PKA1H1_STAND_000007200	1544	772	NA
PKA1H1_STAND_000007300	39	1544	NA
PKA1H1_STAND_000007400	3539	39	NA
PKA1H1_STAND_000007500	81086	3539	sicavarI
PKA1H1_STAND_000007800	8309	81086	sicavarI
PKA1H1_STAND_000007900	54536	8309	sicavarI
PKA1H1_STAND_000008400	6860	54536	sicavarI
PKA1H1_STAND_000008500	10889	6860	sicavarI
PKA1H1_STAND_000008700	29191	10889	sicavarI
PKA1H1_STAND_000008800	6369	29191	sicavarI
PKA1H1_STAND_000008900	6509	6369	sicavarI
PKA1H1_STAND_000009000	1248	6509	NA
PKA1H1_STAND_000009100	2	1248	NA
PKA1H1_STAND_000009200	3	2	NA
PKA1H1_STAND_000009300	329	3	NA
PKA1H1_STAND_000009400	128	329	NA
PKA1H1_STAND_000009500	8572	128	NA
PKA1H1_STAND_000009600	18538	8572	NA
PKA1H1_STAND_000009800	0	18538	NA
PKA1H1_STAND_010005000	69	0	sicavarI
PKA1H1_STAND_010005100	4338	69	sicavarI
PKA1H1_STAND_010005200	660	4338	sicavarI
PKA1H1_STAND_010005300	1528	660	NA
PKA1H1_STAND_010005400	3541	1528	NA
PKA1H1_STAND_010005500	3388	3541	NA
PKA1H1_STAND_010005600	9515	3388	NA
PKA1H1_STAND_010005700	1078	9515	NA
PKA1H1_STAND_010005800	581	1078	NA
PKA1H1_STAND_010005900	1611	581	NA
PKA1H1_STAND_010006000	8024	1611	NA
PKA1H1_STAND_010006200	1040	8024	NA
PKA1H1_STAND_010006300	1720	1040	NA
PKA1H1_STAND_010006400	1137	1720	NA
PKA1H1_STAND_010006500	4957	1137	NA
PKA1H1_STAND_010006600	2093	4957	NA
PKA1H1_STAND_010006700	792	2093	NA
PKA1H1_STAND_010006800	54475	792	NA
PKA1H1_STAND_010007400	2147	54475	NA
PKA1H1_STAND_010007500	1830	2147	NA
PKA1H1_STAND_010007600	7456	1830	NA
PKA1H1_STAND_010007700	10490	7456	sicavarI
PKA1H1_STAND_010007800	3472	10490	sicavarI
PKA1H1_STAND_010007900	1375	3472	KIR
PKA1H1_STAND_010008000	28364	1375	NA
PKA1H1_STAND_010008400	1403	28364	NA
PKA1H1_STAND_010008500	2333	1403	NA
PKA1H1_STAND_010008600	1167	2333	NA
PKA1H1_STAND_010008700	1380	1167	NA
PKA1H1_STAND_010008800	440	1380	NA
PKA1H1_STAND_010008900	2725	440	NA
PKA1H1_STAND_010009000	2921	2725	NA
PKA1H1_STAND_010009100	1328	2921	NA
PKA1H1_STAND_010009200	1299	1328	NA
PKA1H1_STAND_010009300	997	1299	NA
PKA1H1_STAND_010009400	1847	997	NA
PKA1H1_STAND_010009500	269	1847	NA
PKA1H1_STAND_010009600	1044	269	NA
PKA1H1_STAND_010009700	2709	1044	NA
PKA1H1_STAND_010009800	2758	2709	NA
PKA1H1_STAND_010009900	7187	2758	NA
PKA1H1_STAND_010010000	4187	7187	NA
PKA1H1_STAND_010010200	853	4187	NA
PKA1H1_STAND_010010300	878	853	NA
